year,rate_cases1,rate_cases2,death_rate,pct_survival,new_treatment,funding
1975,0,5.93,4.11,23.51,C,3
1976,0,5.86,4.34,22.63,C,1
1977,0,6.29,4.4,22.33,A,2
1978,0,5.8,4.53,25.16,C,3
1979,0,6.12,4.26,23.11,C,3
1980,0,6.57,4.37,24.06,B,1
1981,0,6.53,4.36,25.24,A,2
1982,0,6.39,4.43,25.31,C,2
1983,0,6.37,4.39,24.3,C,2
1984,0,5.96,4.55,29.18,B,1
1985,0,6.96,4.57,23.89,A,2
1986,0,6.78,4.53,29,C,2
1987,0,6.98,4.71,30.49,A,3
1988,0,6.83,4.72,31.18,C,1
1989,0,6.77,4.73,27.21,C,1
1990,0,7.17,4.87,28.46,B,3
1991,0,7.06,4.95,32.55,B,1
1992,6.73,6.91,4.85,30.73,A,3
1993,6.5,6.68,4.79,31.02,B,1
1994,6.32,6.51,4.84,33.45,B,3
1995,6.3,6.54,4.67,32.88,B,1
1996,6.38,6.62,4.73,32.64,B,3
1997,6.48,6.75,4.68,30.96,C,1
1998,6.47,6.57,4.68,31.38,A,2
1999,6.67,6.88,4.64,33.12,C,2
2000,6.38,6.88,4.53,35.97,A,3
2001,6.29,6.65,4.45,35.34,B,1
2002,6.44,6.7,4.45,36.39,C,1
2003,6.49,6.77,4.4,33.44,A,1
2004,6.54,6.93,4.31,35.44,A,1
2005,6.54,6.85,4.34,35.74,A,1
2006,6.26,6.41,4.17,36.59,A,1
2007,6.43,6.58,4.21,36.65,C,3
2008,6.4,6.69,4.28,37.93,C,2
2009,6.63,6.93,4.35,37.93,B,2
2010,6.31,6.68,4.25,35.26,A,1
2011,6.15,6.69,4.26,35.14,B,3
2012,6.25,6.56,4.4,34.81,,
2013,6.31,6.6,4.35,36.94,,
2014,6.13,6.28,4.44,34.39,,
2015,6.4,6.73,4.44,35.18,,
2016,6.07,6.38,4.51,34.28,,
2017,6.18,6.48,4.41,,,
2018,6.17,6.47,4.42,,,
2019,5.87,6.15,4.35,,,
2020,5.9,6.22,4.49,,,
2021,5.67,5.93,4.39,,,
2022,,,4.33,,,
